column_i,column_p,column_h,solution_value
150,0,0,0.0
150,0,1,404.1333
150,0,2,377.85
150,0,3,356.45
150,0,4,337.65
150,0,5,350.5833
150,0,6,474.85
150,0,7,654.2333
150,0,8,889.3833
150,0,9,607.1
150,0,10,915.6667
150,0,11,60.0
150,0,12,53.4
150,0,13,58.8
150,0,14,58.8
150,0,15,1109.7
150,0,16,1057.9833
150,0,17,1092.6036
150,0,18,1111.2667
150,0,19,1043.8667
150,0,20,979.2833
150,0,21,896.8
150,0,22,755.3783
150,0,23,551.2675
150,0,24,454.2
150,0,25,404.1333
150,0,26,377.85
150,0,27,356.45
150,0,28,337.65
150,0,29,350.5833
150,0,30,474.85
150,0,31,654.2333
150,0,32,889.3833
150,0,33,1017.0333
150,0,34,1112.1667
150,0,35,1173.75
150,0,36,0.0
150,0,37,0.0
150,0,38,0.0
150,0,39,0.0
150,1,0,0.0
150,1,1,257.7333
150,1,2,240.15
150,1,3,227.1
150,1,4,211.9
150,1,5,219.1333
150,1,6,299.2
150,1,7,413.0833
150,1,8,561.6833
150,1,9,355.7
150,1,10,560.8167
150,1,11,20.0
150,1,12,17.8
150,1,13,19.6
150,1,14,19.6
150,1,15,700.7
150,1,16,615.4482
150,1,17,704.5667
150,1,18,724.8167
150,1,19,689.5167
150,1,20,651.5833
150,1,21,596.0
150,1,22,482.3036
150,1,23,259.12
150,1,24,290.2
150,1,25,257.7333
150,1,26,240.15
150,1,27,227.1
150,1,28,211.9
150,1,29,219.1333
150,1,30,299.2
150,1,31,413.0833
150,1,32,561.6833
150,1,33,637.2833
150,1,34,696.5167
150,1,35,744.8
150,1,36,0.0
150,1,37,0.0
150,1,38,0.0
150,1,39,0.0
150,2,0,0.0
150,2,1,333.2333
150,2,2,308.7
150,2,3,291.15
150,2,4,265.05
150,2,5,273.9833
150,2,6,381.75
150,2,7,522.4333
150,2,8,707.7333
150,2,9,491.2
150,2,10,647.2667
150,2,11,100.0
150,2,12,89.0
150,2,13,98.0
150,2,14,98.0
150,2,15,833.4
150,2,16,815.3597
150,2,17,763.0333
150,2,18,914.7667
150,2,19,891.1667
150,2,20,854.8833
150,2,21,785.8
150,2,22,661.75
150,2,23,504.0667
150,2,24,377.65
150,2,25,333.2333
150,2,26,308.7
150,2,27,291.15
150,2,28,265.05
150,2,29,273.9833
150,2,30,381.75
150,2,31,522.4333
150,2,32,707.7333
150,2,33,789.8333
150,2,34,848.5667
150,2,35,897.6
150,2,36,0.0
150,2,37,0.0
150,2,38,0.0
150,2,39,0.0
21,0,0,0.0
21,0,1,0.0
21,0,2,0.0
21,0,3,0.0
21,0,4,0.0
21,0,5,0.0
21,0,6,0.0
21,0,7,0.0
21,0,8,0.0
21,0,9,0.0
21,0,10,0.0
21,0,11,33.3333
21,0,12,33.3333
21,0,13,33.3333
21,0,14,33.3333
21,0,15,0.0
21,0,16,33.3333
21,0,17,0.0
21,0,18,0.0
21,0,19,0.0
21,0,20,0.0
21,0,21,0.0
21,0,22,0.0
21,0,23,0.0
21,0,24,0.0
21,0,25,0.0
21,0,26,0.0
21,0,27,0.0
21,0,28,0.0
21,0,29,0.0
21,0,30,0.0
21,0,31,0.0
21,0,32,0.0
21,0,33,0.0
21,0,34,0.0
21,0,35,0.0
21,0,36,0.0
21,0,37,0.0
21,0,38,0.0
21,0,39,0.0
21,1,0,0.0
21,1,1,0.0
21,1,2,0.0
21,1,3,0.0
21,1,4,0.0
21,1,5,0.0
21,1,6,0.0
21,1,7,0.0
21,1,8,0.0
21,1,9,0.0
21,1,10,0.0
21,1,11,33.3333
21,1,12,33.3333
21,1,13,33.3333
21,1,14,33.3333
21,1,15,0.0
21,1,16,33.3333
21,1,17,0.0
21,1,18,0.0
21,1,19,0.0
21,1,20,0.0
21,1,21,0.0
21,1,22,0.0
21,1,23,16.267
21,1,24,0.0
21,1,25,0.0
21,1,26,0.0
21,1,27,0.0
21,1,28,0.0
21,1,29,0.0
21,1,30,0.0
21,1,31,0.0
21,1,32,0.0
21,1,33,0.0
21,1,34,0.0
21,1,35,0.0
21,1,36,0.0
21,1,37,0.0
21,1,38,0.0
21,1,39,0.0
21,2,0,0.0
21,2,1,0.0
21,2,2,0.0
21,2,3,0.0
21,2,4,0.0
21,2,5,0.0
21,2,6,0.0
21,2,7,0.0
21,2,8,0.0
21,2,9,0.0
21,2,10,0.0
21,2,11,33.3333
21,2,12,33.3333
21,2,13,33.3333
21,2,14,33.3333
21,2,15,0.0
21,2,16,0.0
21,2,17,0.0
21,2,18,0.0
21,2,19,0.0
21,2,20,0.0
21,2,21,0.0
21,2,22,0.0
21,2,23,0.0
21,2,24,0.0
21,2,25,0.0
21,2,26,0.0
21,2,27,0.0
21,2,28,0.0
21,2,29,0.0
21,2,30,0.0
21,2,31,0.0
21,2,32,0.0
21,2,33,0.0
21,2,34,0.0
21,2,35,0.0
21,2,36,0.0
21,2,37,0.0
21,2,38,0.0
21,2,39,0.0
49,0,0,0.0
49,0,1,0.0
49,0,2,0.0
49,0,3,0.0
49,0,4,0.0
49,0,5,0.0
49,0,6,0.0
49,0,7,0.0
49,0,8,0.0
49,0,9,16.3
49,0,10,0.0
49,0,11,33.3333
49,0,12,33.0333
49,0,13,33.3333
49,0,14,33.3333
49,0,15,0.0
49,0,16,0.0
49,0,17,0.0
49,0,18,0.0
49,0,19,0.0
49,0,20,0.0
49,0,21,0.0
49,0,22,0.0
49,0,23,29.5992
49,0,24,0.0
49,0,25,0.0
49,0,26,0.0
49,0,27,0.0
49,0,28,0.0
49,0,29,0.0
49,0,30,0.0
49,0,31,0.0
49,0,32,0.0
49,0,33,0.0
49,0,34,0.0
49,0,35,0.0
49,0,36,0.0
49,0,37,0.0
49,0,38,0.0
49,0,39,0.0
49,1,0,0.0
49,1,1,0.0
49,1,2,0.0
49,1,3,0.0
49,1,4,0.0
49,1,5,0.0
49,1,6,0.0
49,1,7,0.0
49,1,8,0.0
49,1,9,0.0
49,1,10,0.0
49,1,11,10.7167
49,1,12,33.3333
49,1,13,33.3333
49,1,14,33.3333
49,1,15,0.0
49,1,16,33.3333
49,1,17,0.0
49,1,18,0.0
49,1,19,0.0
49,1,20,0.0
49,1,21,0.0
49,1,22,0.0
49,1,23,33.3333
49,1,24,0.0
49,1,25,0.0
49,1,26,0.0
49,1,27,0.0
49,1,28,0.0
49,1,29,0.0
49,1,30,0.0
49,1,31,0.0
49,1,32,0.0
49,1,33,0.0
49,1,34,0.0
49,1,35,0.0
49,1,36,0.0
49,1,37,0.0
49,1,38,0.0
49,1,39,0.0
49,2,0,0.0
49,2,1,0.0
49,2,2,0.0
49,2,3,0.0
49,2,4,0.0
49,2,5,0.0
49,2,6,0.0
49,2,7,0.0
49,2,8,0.0
49,2,9,0.0
49,2,10,0.0
49,2,11,33.3333
49,2,12,33.3333
49,2,13,33.3333
49,2,14,33.3333
49,2,15,0.0
49,2,16,0.0
49,2,17,0.0
49,2,18,0.0
49,2,19,0.0
49,2,20,0.0
49,2,21,0.0
49,2,22,0.0
49,2,23,0.0
49,2,24,0.0
49,2,25,0.0
49,2,26,0.0
49,2,27,0.0
49,2,28,0.0
49,2,29,0.0
49,2,30,0.0
49,2,31,0.0
49,2,32,0.0
49,2,33,0.0
49,2,34,0.0
49,2,35,0.0
49,2,36,0.0
49,2,37,0.0
49,2,38,0.0
49,2,39,0.0
76,0,0,0.0
76,0,1,0.0
76,0,2,0.0
76,0,3,0.0
76,0,4,0.0
76,0,5,0.0
76,0,6,0.0
76,0,7,0.0
76,0,8,0.0
76,0,9,0.0
76,0,10,0.0
76,0,11,33.3333
76,0,12,33.3333
76,0,13,30.1333
76,0,14,33.3333
76,0,15,0.0
76,0,16,0.0
76,0,17,0.0
76,0,18,0.0
76,0,19,0.0
76,0,20,0.0
76,0,21,0.0
76,0,22,0.0
76,0,23,0.0
76,0,24,0.0
76,0,25,0.0
76,0,26,0.0
76,0,27,0.0
76,0,28,0.0
76,0,29,0.0
76,0,30,0.0
76,0,31,0.0
76,0,32,0.0
76,0,33,0.0
76,0,34,0.0
76,0,35,0.0
76,0,36,0.0
76,0,37,0.0
76,0,38,0.0
76,0,39,0.0
76,1,0,0.0
76,1,1,0.0
76,1,2,0.0
76,1,3,0.0
76,1,4,0.0
76,1,5,0.0
76,1,6,0.0
76,1,7,0.0
76,1,8,0.0
76,1,9,0.0
76,1,10,0.0
76,1,11,33.3333
76,1,12,33.3333
76,1,13,33.3333
76,1,14,33.3333
76,1,15,0.0
76,1,16,0.0
76,1,17,0.0
76,1,18,0.0
76,1,19,0.0
76,1,20,0.0
76,1,21,0.0
76,1,22,0.0
76,1,23,33.3333
76,1,24,0.0
76,1,25,0.0
76,1,26,0.0
76,1,27,0.0
76,1,28,0.0
76,1,29,0.0
76,1,30,0.0
76,1,31,0.0
76,1,32,0.0
76,1,33,0.0
76,1,34,0.0
76,1,35,0.0
76,1,36,0.0
76,1,37,0.0
76,1,38,0.0
76,1,39,0.0
76,2,0,0.0
76,2,1,0.0
76,2,2,0.0
76,2,3,0.0
76,2,4,0.0
76,2,5,0.0
76,2,6,0.0
76,2,7,0.0
76,2,8,0.0
76,2,9,0.0
76,2,10,0.0
76,2,11,33.3333
76,2,12,33.3333
76,2,13,33.3333
76,2,14,33.3333
76,2,15,0.0
76,2,16,4.2853
76,2,17,33.3333
76,2,18,0.0
76,2,19,0.0
76,2,20,0.0
76,2,21,0.0
76,2,22,0.0
76,2,23,0.0
76,2,24,0.0
76,2,25,0.0
76,2,26,0.0
76,2,27,0.0
76,2,28,0.0
76,2,29,0.0
76,2,30,0.0
76,2,31,0.0
76,2,32,0.0
76,2,33,0.0
76,2,34,0.0
76,2,35,0.0
76,2,36,0.0
76,2,37,0.0
76,2,38,0.0
76,2,39,0.0
91,0,0,0.0
91,0,1,0.0
91,0,2,0.0
91,0,3,0.0
91,0,4,0.0
91,0,5,0.0
91,0,6,0.0
91,0,7,0.0
91,0,8,0.0
91,0,9,0.0
91,0,10,0.0
91,0,11,33.3333
91,0,12,33.3333
91,0,13,33.3333
91,0,14,33.3333
91,0,15,0.0
91,0,16,0.0
91,0,17,0.0
91,0,18,0.0
91,0,19,0.0
91,0,20,0.0
91,0,21,0.0
91,0,22,0.0
91,0,23,0.0
91,0,24,0.0
91,0,25,0.0
91,0,26,0.0
91,0,27,0.0
91,0,28,0.0
91,0,29,0.0
91,0,30,0.0
91,0,31,0.0
91,0,32,0.0
91,0,33,0.0
91,0,34,0.0
91,0,35,0.0
91,0,36,0.0
91,0,37,0.0
91,0,38,0.0
91,0,39,0.0
91,1,0,0.0
91,1,1,0.0
91,1,2,0.0
91,1,3,0.0
91,1,4,0.0
91,1,5,0.0
91,1,6,0.0
91,1,7,0.0
91,1,8,0.0
91,1,9,0.0
91,1,10,0.0
91,1,11,33.3333
91,1,12,33.3333
91,1,13,33.3333
91,1,14,33.3333
91,1,15,0.0
91,1,16,0.0
91,1,17,0.0
91,1,18,0.0
91,1,19,0.0
91,1,20,0.0
91,1,21,0.0
91,1,22,0.0
91,1,23,5.6296
91,1,24,0.0
91,1,25,0.0
91,1,26,0.0
91,1,27,0.0
91,1,28,0.0
91,1,29,0.0
91,1,30,0.0
91,1,31,0.0
91,1,32,0.0
91,1,33,0.0
91,1,34,0.0
91,1,35,0.0
91,1,36,0.0
91,1,37,0.0
91,1,38,0.0
91,1,39,0.0
91,2,0,0.0
91,2,1,0.0
91,2,2,0.0
91,2,3,0.0
91,2,4,0.0
91,2,5,0.0
91,2,6,0.0
91,2,7,0.0
91,2,8,0.0
91,2,9,0.0
91,2,10,0.0
91,2,11,27.2667
91,2,12,33.3333
91,2,13,33.3333
91,2,14,33.3333
91,2,15,0.0
91,2,16,0.0
91,2,17,33.3333
91,2,18,0.0
91,2,19,0.0
91,2,20,0.0
91,2,21,0.0
91,2,22,0.0
91,2,23,0.0
91,2,24,0.0
91,2,25,0.0
91,2,26,0.0
91,2,27,0.0
91,2,28,0.0
91,2,29,0.0
91,2,30,0.0
91,2,31,0.0
91,2,32,0.0
91,2,33,0.0
91,2,34,0.0
91,2,35,0.0
91,2,36,0.0
91,2,37,0.0
91,2,38,0.0
91,2,39,0.0
99,0,0,0.0
99,0,1,-0.0
99,0,2,-0.0
99,0,3,-0.0
99,0,4,-0.0
99,0,5,-0.0
99,0,6,-0.0
99,0,7,-0.0
99,0,8,0.0
99,0,9,11.6553
99,0,10,26.1
99,0,11,23.6
99,0,12,24.0
99,0,13,22.4
99,0,14,33.3333
99,0,15,-0.0
99,0,16,-0.0
99,0,17,9.3131
99,0,18,-0.0
99,0,19,-0.0
99,0,20,-0.0
99,0,21,-0.0
99,0,22,-0.0
99,0,23,-0.0
99,0,24,-0.0
99,0,25,-0.0
99,0,26,-0.0
99,0,27,-0.0
99,0,28,-0.0
99,0,29,-0.0
99,0,30,-0.0
99,0,31,-0.0
99,0,32,-0.0
99,0,33,-0.0
99,0,34,-0.0
99,0,35,-0.0
99,0,36,0.0
99,0,37,0.0
99,0,38,0.0
99,0,39,0.0
99,1,0,0.0
99,1,1,0.0
99,1,2,0.0
99,1,3,0.0
99,1,4,0.0
99,1,5,0.0
99,1,6,0.0
99,1,7,0.0
99,1,8,0.0
99,1,9,13.0851
99,1,10,22.6482
99,1,11,23.6
99,1,12,24.0
99,1,13,22.4
99,1,14,33.3333
99,1,15,0.0
99,1,16,0.0
99,1,17,0.0
99,1,18,0.0
99,1,19,0.0
99,1,20,0.0
99,1,21,0.0
99,1,22,19.2148
99,1,23,33.3333
99,1,24,0.0
99,1,25,0.0
99,1,26,0.0
99,1,27,0.0
99,1,28,0.0
99,1,29,0.0
99,1,30,0.0
99,1,31,0.0
99,1,32,0.0
99,1,33,0.0
99,1,34,0.0
99,1,35,0.0
99,1,36,0.0
99,1,37,0.0
99,1,38,0.0
99,1,39,0.0
99,2,0,0.0
99,2,1,0.0
99,2,2,0.0
99,2,3,0.0
99,2,4,0.0
99,2,5,0.0
99,2,6,0.0
99,2,7,0.0
99,2,8,0.0
99,2,9,11.6553
99,2,10,26.1
99,2,11,23.6
99,2,12,24.0
99,2,13,18.4
99,2,14,33.3333
99,2,15,0.0
99,2,16,0.0
99,2,17,33.3333
99,2,18,0.0
99,2,19,0.0
99,2,20,0.0
99,2,21,0.0
99,2,22,0.0
99,2,23,0.0
99,2,24,0.0
99,2,25,0.0
99,2,26,0.0
99,2,27,0.0
99,2,28,0.0
99,2,29,0.0
99,2,30,0.0
99,2,31,0.0
99,2,32,0.0
99,2,33,0.0
99,2,34,0.0
99,2,35,0.0
99,2,36,0.0
99,2,37,0.0
99,2,38,0.0
99,2,39,0.0
